Satisfação,Gênero,Tipo de Cliente,Idade,Tipo de Viagem,Classe,Distância do Voo,Conforto do Banco,Tempo de Viagem,Comida e Bebida,Local do Portão,Serviço de Wifi no Voo,Entretenimento no Voo,Suporte Online,Facilidade na Reserva Online,Serviços a Bordo,Espaço para Pernas,Manuseio das Bagagens,Serviço de Checkin,Limpeza,Embarque Online,Atraso na Saída em minutos,Atraso na Chegada em minutos
Insatisfeito Satisfeito,Mulher Homem,Fiel Não\ fiel,continuous,A\ Negócios Pessoal,Executiva Econômica Econômica\ Plus,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,,,,,,,,,,,,,,,,,,,,,,
Satisfeito,Mulher,Fiel,65,Pessoal,Econômica,265,0,0,0,2,2,4,2,3,3,0,3,5,3,2,0,0
Satisfeito,Homem,Fiel,47,Pessoal,Executiva,2464,0,0,0,3,0,2,2,3,4,4,4,2,3,2,310,305
Satisfeito,Mulher,Fiel,15,Pessoal,Econômica,2138,0,0,0,3,2,0,2,2,3,3,4,4,4,2,0,0
Satisfeito,Mulher,Fiel,60,Pessoal,Econômica,623,0,0,0,3,3,4,3,1,1,0,1,4,1,3,0,0
Satisfeito,Mulher,Fiel,70,Pessoal,Econômica,354,0,0,0,3,4,3,4,2,2,0,2,4,2,5,0,0
Satisfeito,Homem,Fiel,30,Pessoal,Econômica,1894,0,0,0,3,2,0,2,2,5,4,5,5,4,2,0,0
Satisfeito,Mulher,Fiel,66,Pessoal,Econômica,227,0,0,0,3,2,5,5,5,5,0,5,5,5,3,17,15
Satisfeito,Homem,Fiel,10,Pessoal,Econômica,1812,0,0,0,3,2,0,2,2,3,3,4,5,4,2,0,0
Satisfeito,Mulher,Fiel,56,Pessoal,Executiva,73,0,0,0,3,5,3,5,4,4,0,1,5,4,4,0,0
Satisfeito,Homem,Fiel,22,Pessoal,Econômica,1556,0,0,0,3,2,0,2,2,2,4,5,3,4,2,30,26
Satisfeito,Mulher,Fiel,58,Pessoal,Econômica,104,0,0,0,3,3,3,3,3,3,0,1,2,3,5,47,48
Satisfeito,Mulher,Fiel,34,Pessoal,Econômica,3633,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0
Satisfeito,Homem,Fiel,62,Pessoal,Econômica,1695,0,0,0,4,5,0,5,5,1,3,2,2,4,5,0,0
Satisfeito,Homem,Fiel,35,Pessoal,Econômica,1766,0,1,0,1,4,0,4,4,3,5,2,3,2,4,0,0
Satisfeito,Mulher,Fiel,47,Pessoal,Econômica,84,0,1,0,1,5,2,1,5,5,0,5,2,5,2,40,48
Satisfeito,Homem,Fiel,60,Pessoal,Econômica,1373,0,1,0,1,1,0,1,1,3,4,1,4,2,1,0,0
Satisfeito,Mulher,Fiel,13,Pessoal,Econômica,3693,0,1,0,2,4,0,4,4,4,4,1,3,1,4,5,0
Satisfeito,Mulher,Fiel,52,Pessoal,Executiva,2610,0,1,0,2,1,2,2,1,1,0,1,2,1,3,0,0
Satisfeito,Mulher,Fiel,55,Pessoal,Econômica,2554,0,1,0,2,0,1,1,2,1,1,2,1,3,1,0,0
Satisfeito,Mulher,Fiel,28,Pessoal,Econômica,3095,0,1,0,2,3,0,3,3,2,5,2,3,2,3,0,0
Satisfeito,Mulher,Fiel,9,Pessoal,Econômica,3305,0,1,0,2,3,0,5,3,1,1,1,3,3,3,0,0
Satisfeito,Mulher,Fiel,10,Pessoal,Econômica,2090,0,1,0,2,1,0,1,1,3,5,1,4,2,1,0,0
Satisfeito,Mulher,Fiel,25,Pessoal,Econômica,2122,0,1,0,2,2,0,4,2,4,1,3,1,3,2,0,0
Satisfeito,Homem,Fiel,53,Pessoal,Executiva,1099,0,1,0,2,1,3,3,1,1,0,1,3,1,1,0,0
Satisfeito,Mulher,Fiel,16,Pessoal,Econômica Plus,1747,0,1,0,2,2,0,2,2,3,3,2,4,3,2,0,0
Satisfeito,Homem,Fiel,30,Pessoal,Econômica,1817,0,1,0,2,4,0,4,4,2,1,3,3,2,4,0,0
Satisfeito,Homem,Fiel,64,Pessoal,Econômica,1707,0,1,0,2,5,0,3,5,4,4,2,3,2,5,0,0
Satisfeito,Mulher,Fiel,42,Pessoal,Econômica,470,0,1,0,2,3,2,2,3,3,0,3,1,3,4,2,23
Satisfeito,Homem,Fiel,9,Pessoal,Econômica,972,0,1,0,2,4,0,4,4,4,3,3,1,3,4,0,0
